건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
2001,아파트,35935,2,978390.818,1961948.862
2001,아파트,35936,2,978284.9916,1961946.357
2001,아파트,35938,2,978283.3964,1961999.817
2001,아파트,35943,2,978324.0961,1962035.006
2001,아파트,35948,2,978377.0409,1962062.598
2001,아파트,35950,2,978282.2351,1962052.608
2001,아파트,35951,2,978274.3699,1962108.551
2001,아파트,35939,2,978315.0061,1961994.843
2001,아파트,35946,2,978385.2362,1962003.486
2001,아파트,35942,2,978334.7769,1961961.588
2001,아파트,56242,2,977518.1185,1962368.118
2001,아파트,56241,2,977689.3133,1962374.441
2001,아파트,56244,2,977650.2912,1962361.951
2001,아파트,56245,2,977553.0058,1962331.371
2001,아파트,56246,2,977590.816,1962329.364
2001,아파트,56247,2,977517.8218,1962299.186
2001,아파트,56249,2,977641.037,1962296.943
2001,아파트,56248,2,977588.5392,1962298.17
2001,아파트,56243,2,977599.9655,1962362.64
2001,아파트,56231,2,977472.6745,1962436.844
2001,아파트,56233,2,977690.9127,1962427.557
2001,아파트,56238,2,977504.1353,1962507.704
2001,아파트,56239,2,977644.1128,1962503.556
2001,아파트,56237,2,977574.1079,1962512.769
2001,아파트,56228,2,977724.8922,1962447.395
2001,아파트,56232,2,977722.2137,1962438.407
2001,아파트,56210,2,977447.6383,1962498.092
2001,아파트,56211,2,977713.9721,1962490.403
2001,아파트,56212,2,977404.7142,1962489.431
2001,아파트,56236,2,977465.2676,1962526.373
2001,아파트,56229,2,977542.7251,1962440.303
2001,아파트,56230,2,977628.5453,1962438.573
2001,아파트,25197,2,977071.7037,1962254.76
2001,아파트,25237,2,977184.1716,1962397.09
2001,아파트,25224,2,977069.8482,1962312.876
2001,아파트,25192,2,977144.0433,1962264.955
2001,아파트,25226,2,977333.8714,1962463.984
2001,아파트,25227,2,977279.6337,1962443.156
2001,아파트,25228,2,977220.5478,1962428.303
2001,아파트,25221,2,977141.8702,1962336.302
2001,아파트,25232,2,977124.026,1962412.999
2001,아파트,25240,2,977337.4634,1962390.334
2001,아파트,25202,2,977279.7383,1962388.399
2001,아파트,25207,2,977076.4015,1962377.379
2001,아파트,25179,2,977079.3026,1962187.529
2001,아파트,25185,2,977144.8303,1962186.544
2001,아파트,25183,2,977146.4442,1962119.471
2001,아파트,25180,2,977089.9706,1962118.205
2001,아파트,25181,2,977149.0809,1962052.951
2001,아파트,25186,2,977198.405,1962191.895
2001,아파트,25184,2,977198.2874,1962144.961
2001,아파트,25182,2,977093.7066,1962051.416
2001,아파트,60281,2,977750.496,1962304.57
2001,아파트,51524,2,978169.0458,1962342.318
2001,아파트,51511,2,977970.2706,1962278.83
2001,아파트,51514,2,977949.402,1962229.335
2001,아파트,51515,2,977928.6783,1962380.169
2001,아파트,51535,2,977842.8189,1962465.704
2001,아파트,51536,2,977908.6577,1962448.101
2001,아파트,51539,2,977963.6275,1962432.831
2001,아파트,51543,2,977826.0914,1962417.255
2001,아파트,51544,2,978028.1492,1962400.482
2001,아파트,51546,2,977979.413,1962392.707
2001,아파트,51520,2,977996.3259,1962341.196
2001,아파트,51517,2,977830.0846,1962366.025
2001,아파트,51528,2,978115.2962,1962321.647
2001,아파트,51530,2,978038.8251,1962305.482
2001,아파트,51516,2,978089.5468,1962373.47
2001,아파트,51532,2,978079.2548,1962300.207
2001,아파트,51526,2,977913.5013,1962326.628
2001,아파트,51529,2,977961.8845,1962324.044
2001,아파트,25247,2,977791.1107,1962202.356
2001,아파트,25242,2,977887.0569,1962256.874
2001,아파트,25243,2,977812.0492,1962251.032
2001,아파트,25246,2,977865.9641,1962208.161
2001,아파트,25250,2,977845.8896,1962162.041
2001,아파트,25252,2,977889.7348,1962282.417
2001,아파트,25251,2,977833.7576,1962300.647
2001,아파트,52483,2,981299.2371,1947473.254
2001,아파트,52480,2,981356.6312,1947510.863
2001,아파트,52482,2,981314.4825,1947481.377
2001,아파트,52484,2,981286.4627,1947455.53
2001,아파트,44656,2,974075.0725,1954469.934
