연번,차량등록지,lat,lon,보급연도
207,경기도 남양주시 ,37.6492032,127.1128735,2020
208,경기도 남양주시 ,37.61057617,127.1549954,2020
209,경기도 남양주시 ,37.66021348,127.1774412,2020
210,경기도 남양주시 ,37.6565171,127.1457132,2020
211,경기도 남양주시 ,37.64470029,127.1140304,2020
212,경기도 남양주시 ,37.67743237,127.2136558,2020
213,경기도 남양주시 ,37.64141915,127.2307964,2020
214,경기도 남양주시 ,37.65768798,127.2511448,2020
215,경기도 남양주시 ,37.68284034,127.213635,2020
216,경기도 남양주시 ,37.72695969,127.1953086,2020
217,경기도 남양주시 ,37.67652828,127.2125252,2020
218,경기도 남양주시 ,37.69542506,127.1999749,2020
219,경기도 남양주시 ,37.58822181,127.2230593,2020
220,경기도 남양주시 ,37.64503475,127.2353175,2020
221,경기도 남양주시 ,37.65194743,127.1253293,2020
222,경기도 남양주시 ,37.68823999,127.2102116,2020
223,경기도 남양주시 ,37.64504233,127.2387181,2020
224,경기도 남양주시 ,37.71230292,127.1148146,2020
225,경기도 남양주시 ,37.69633784,127.2045085,2020
226,경기도 남양주시 ,37.57918677,127.2140324,2020
227,경기도 남양주시 ,37.69003704,127.2079362,2020
228,경기도 남양주시 ,37.66185838,127.1241457,2020
229,경기도 남양주시 ,37.64324466,127.2409914,2020
230,경기도 남양주시 ,37.58099493,127.2162907,2020
231,경기도 남양주시 ,37.64594867,127.240982,2020
232,경기도 남양주시 ,37.64928587,127.138946,2020
233,경기도 남양주시 ,37.658417,127.1797165,2020
234,경기도 남양주시 ,37.72338881,127.20894,2020
235,경기도 남양주시 ,37.61058277,127.1572614,2020
236,경기도 남양주시 ,37.70524165,127.1636327,2020
237,경기도 남양주시 ,37.67923227,127.2125148,2020
238,경기도 남양주시 ,37.68193625,127.2125044,2020
239,경기도 남양주시 ,37.65498158,127.2500202,2020
240,경기도 남양주시 ,37.69004819,127.212473,2020
241,경기도 남양주시 ,37.65777493,127.296494,2020
242,경기도 남양주시 ,37.649549,127.2387023,2020
243,경기도 남양주시 ,37.65588291,127.2500172,2020
244,경기도 남양주시 ,37.65867822,127.2976253,2020
245,경기도 남양주시 ,37.71525127,127.1987604,2020
246,경기도 남양주시 ,37.65059942,127.3180525,2020
247,경기도 남양주시 ,37.66218255,127.2454608,2020
248,경기도 남양주시 ,37.65604024,127.3407134,2020
249,경기도 남양주시 ,37.66500092,127.305545,2020
250,경기도 남양주시 ,37.65948584,127.2488713,2020
251,경기도 남양주시 ,37.69900394,127.1897512,2020
252,경기도 남양주시 ,37.64830187,127.1128782,2020
253,경기도 남양주시 ,37.65020099,127.143476,2020
254,경기도 남양주시 ,37.65832315,127.1468384,2020
255,경기도 남양주시 ,37.60787217,127.1550079,2020
256,경기도 남양주시 ,37.6414243,127.2330633,2020
